"","Sample_ID","Am","AQY","Rd","Ik"
"1","Light_1",33.2531204083411,0.124138383694383,-0.392076904420246,267.871382071536
"2","Light_2",6.48288440203671,0.113757726622265,-0.0741306420140389,56.9885193254898
"3","Light_4",30.1255228905968,0.152982833687472,-0.670135949726572,196.920936581291
"4","Light_5",23.4097869866794,0.163451737165566,0.0542624463627908,143.221402186547
"5","Light_6",8.82654444134221,0.139380135071571,0.136145009320897,63.3271336464828
"6","Light_7",47.0819454462712,0.184118291883532,-0.556760029066647,255.715741030522
"7","Light_8",13.8867534826263,0.142197933425134,-0.0297035569271432,97.6579135022202
"8","Light_10",7.94846412774733,0.122375654074901,-0.120735060877725,64.9513515399266
"9","Light_11",31.1688074950612,0.139077573032331,0.0540374798749975,224.110953444777
"10","Light_12",16.8278798129839,0.122772542052393,-0.135741906425159,137.0654995952
"11","Light_13",17.7312387711855,0.0986143115546302,-0.0853604232877464,179.803909713072
